Year,January,February,March,April,May,June,July,August,September,October,November,December,,Annual
1978,,,,,,,,,,,11.686,6.969,,9.289
1979,3.474,2.107,2.663,5.452,8.299,11.224,13.257,13.785,14.287,13.722,11.322,6.236,,8.855
1980,3.082,1.847,2.11,3.678,6.437,9.581,12.18,13.956,14.866,14.568,11.841,6.559,,8.41
1981,2.841,1.737,2.155,4.073,7.077,10.163,12.777,14.156,14.781,14.433,12.073,7.015,,8.645
1982,3.251,1.86,2.841,5.792,8.273,10.498,12.473,14.284,14.529,13.745,11.269,6.314,,8.798
1983,3.207,1.906,2.616,4.696,7.159,9.769,12.366,13.836,14.683,13.917,11.567,6.705,,8.572
1984,2.934,1.752,2.345,4.528,7.413,10.645,13.38,14.23,14.268,13.734,12.058,6.959,,8.707
1985,2.874,1.835,2.538,4.742,7.839,10.506,12.48,14.241,14.722,14.367,12.344,7.456,,8.867
1986,3.428,1.996,2.379,4.558,7.04,9.72,12.093,13.457,13.876,13.324,10.866,6.489,,8.304
1987,3.307,1.999,2.747,5.044,7.534,9.91,12.498,14.018,14.27,13.711,11.227,,,8.796
1988,,1.9,2.59,4.436,7.228,10.278,12.615,13.976,14.198,14.414,12.293,7.403,,9.243
1989,3.17,2.026,2.587,4.496,7.999,10.814,12.578,14.031,14.476,13.846,11.42,6.704,,8.716
1990,3.388,2.205,2.793,5.18,7.463,10.353,12.267,14.033,14.391,13.798,11.345,6.73,,8.697
1991,3.517,2.091,2.654,5.181,7.855,9.986,12.218,14.051,14.471,13.803,11.458,6.798,,8.71
1992,3.235,1.856,2.467,4.997,7.622,10.004,12.576,14.172,14.134,13.855,11.2,6.178,,8.544
1993,2.548,1.373,2.238,4.9,7.885,10.369,12.721,13.935,14.704,14.172,11.833,6.671,,8.652
1994,3.372,2.225,3.199,5.455,8.208,10.733,13.121,14.487,14.613,14.067,11.781,7.112,,9.069
1995,3.73,2.188,3.011,5.404,8.189,10.455,12.529,14.203,14.462,13.573,11.487,7.191,,8.906
1996,3.548,1.768,2.649,5.365,8.655,11.09,12.887,13.895,14.543,13.939,11.24,6.24,,8.838
1997,2.769,1.717,2.297,4.835,7.91,10.215,12.749,14.086,14.589,14.121,11.592,6.991,,8.695
1998,3.039,1.868,2.705,5.12,7.911,10.339,12.657,14.06,14.842,14.541,11.879,6.802,,8.852
1999,3.108,1.774,2.576,5.13,8.073,10.827,13.063,14.239,14.616,14.235,11.511,6.803,,8.869
2000,2.921,1.719,2.665,5.306,8.562,11.037,12.987,14.638,15.071,14.259,11.808,6.954,,9.014
2001,3.638,2.445,3.356,5.299,8,10.556,12.576,13.753,14.359,13.343,10.997,6.355,,8.757
2002,2.95,1.817,2.363,4.585,7.175,9.695,12.516,13.739,14.104,13.82,11.667,7.61,,8.542
2003,4.113,2.659,3.238,5.558,8.452,11.158,13.165,13.771,14.142,13.874,11.466,7.203,,9.103
2004,3.8,2.361,3.164,5.395,8.186,10.89,13.157,14.233,14.591,14.123,11.748,6.929,,9.067
2005,3.178,1.968,2.735,5.191,7.957,10.312,12.72,13.952,14.852,14.037,11.804,6.333,,8.789
2006,2.807,1.758,2.014,4.278,7.199,10.579,12.881,14.541,15.18,14.679,11.61,6.483,,8.705
2007,3.001,1.94,2.543,4.697,7.544,10.479,12.614,14.033,15.389,14.587,12.16,8.384,,8.986
2008,4.071,2.4,3.676,6.234,8.597,11.401,12.945,14.128,14.392,14.122,12.006,7.386,,9.299
2009,3.499,1.97,3.015,5.962,8.463,11.093,13.091,14.451,15.083,14.349,11.804,7.091,,9.195
2010,3.334,2.108,2.664,5.005,8.335,11.647,13.739,14.949,14.431,14.415,11.922,6.943,,9.164
2011,3.048,1.857,2.255,4.392,7.848,10.544,12.343,14.041,14.567,14.226,11.767,7.403,,8.729
2012,3.713,2.191,2.909,5.551,8.15,10.786,13.305,14.556,15.407,14.451,12.07,7.377,,9.225
2013,3.943,2.579,3.488,5.753,8.486,11.267,13.732,15.132,15.276,15.129,12.769,8.344,,9.699
2014,4.377,2.651,3.32,6.408,9.029,12.057,13.954,15.1,15.75,14.834,12.262,8.206,,9.868
2015,4.336,2.539,3.448,6.37,9.209,11.479,13.451,14.021,14.453,14.362,11.897,7.091,,9.426
2016,3.027,1.855,2.774,5.377,7.913,10.607,12.548,13.976,13.859,12.936,9.839,5.514,,8.37
2017,2.564,1.641,1.833,3.925,6.832,9.797,12.282,13.619,13.922,13.453,10.907,6.232,,8.12
2018,2.687,1.627,2.313,4.146,7.155,10.229,12.487,14.015,14.2,13.991,10.751,5.59,,8.303
2019,2.659,1.813,2.099,4.181,6.844,9.747,12.333,13.988,14.601,13.905,11.195,6.586,,8.365
2020,3.093,1.832,2.592,4.811,7.615,10.593,12.582,14.418,15.086,14.599,11.88,6.612,,8.828
2021,2.938,1.72,2.819,5.285,8.208,11.046,13.357,14.63,14.417,13.39,10.446,5.479,,8.683
2022,2.444,1.382,1.856,4.251,7.289,9.561,11.908,13.667,14.073,13.337,10.843,5.227,,8.022
2023,1.946,1.151,1.748,3.96,6.451,8.494,10.588,12.212,12.966,12.46,10.293,5.838,,7.376
2024,2.563,1.51,2.111,4.559,7.106,9.101,,,,,,,,4.499
