Year,January,February,March,April,May,June,July,August,September,October,November,December
1978,,,,,,,,,,,-1520000,-2396000
1979,-1406000,-346000,817000,1453000,1278000,1288000,576000,423000,35000,-422000,-1409000,-2802000
1980,-1043000,-382000,544000,1020000,1426000,1420000,977000,720000,214000,-345000,-1443000,-2858000
1981,-1321000,-268000,561000,1171000,1441000,1381000,896000,491000,233000,-471000,-1075000,-2738000
1982,-1455000,-355000,1047000,1272000,1131000,951000,940000,515000,31000,-374000,-1435000,-2604000
1983,-1172000,-341000,775000,1082000,1160000,1223000,940000,657000,178000,-377000,-1231000,-2605000
1984,-1676000,-294000,816000,1291000,1211000,1420000,948000,383000,-86000,-224000,-1130000,-2625000
1985,-1669000,-155000,616000,1274000,1448000,1202000,572000,907000,20000,-334000,-1106000,-2491000
1986,-1746000,-331000,671000,1090000,964000,1425000,999000,485000,-15000,-390000,-1338000,-2209000
1987,-1314000,-338000,771000,1075000,1192000,1243000,1053000,382000,183000,-476000,-1199000,
1988,,-254000,826000,1036000,1414000,1206000,940000,414000,264000,-257000,-1269000,-2625000
1989,-1626000,-238000,718000,1137000,1624000,1109000,687000,534000,8000,-265000,-1269000,-2654000
1990,-1354000,-306000,902000,1186000,1121000,1200000,889000,596000,86000,-426000,-1462000,-2270000
1991,-1318000,-601000,1053000,1142000,1221000,1052000,955000,540000,229000,-582000,-1250000,-2536000
1992,-1450000,-383000,812000,1343000,1128000,1191000,1090000,392000,-25000,-193000,-1232000,-2866000
1993,-1419000,-297000,1000000,1185000,1300000,1123000,961000,594000,98000,-446000,-1217000,-2805000
1994,-1267000,-223000,1013000,1000000,1284000,1172000,956000,561000,-1000,-351000,-1536000,-2336000
1995,-1280000,-392000,840000,1121000,1281000,1003000,874000,499000,234000,-528000,-1228000,-2240000
1996,-1541000,-593000,1061000,1277000,1418000,921000,880000,480000,57000,-445000,-1405000,-2731000
1997,-1348000,-316000,858000,1316000,1336000,1147000,1008000,454000,148000,-456000,-1337000,-2718000
1998,-1283000,-283000,956000,1217000,1212000,1161000,960000,524000,221000,-328000,-1311000,-2871000
1999,-1372000,-388000,950000,1131000,1431000,1196000,820000,513000,210000,-497000,-1248000,-2600000
2000,-1596000,-246000,844000,1379000,1445000,914000,851000,572000,251000,-623000,-1371000,-2621000
2001,-1088000,-269000,731000,1092000,1238000,1153000,880000,267000,348000,-487000,-1167000,-2528000
2002,-1563000,-263000,608000,1361000,1012000,1221000,1008000,547000,15000,-129000,-1492000,-2115000
2003,-1444000,-282000,668000,1260000,1435000,1041000,830000,279000,251000,-249000,-1352000,-2572000
2004,-1309000,-358000,740000,1233000,1338000,1130000,865000,547000,86000,-342000,-1409000,-2722000
2005,-1466000,-198000,852000,1216000,1301000,1101000,1051000,368000,402000,-487000,-1405000,-2973000
2006,-1395000,-167000,616000,1186000,1573000,1267000,933000,742000,72000,-412000,-1547000,-2663000
2007,-1468000,-179000,682000,1208000,1326000,1242000,1038000,455000,279000,-413000,-1395000,-1821000
2008,-1981000,-222000,918000,1168000,1125000,1105000,626000,460000,42000,-82000,-1197000,-2367000
2009,-1813000,-404000,1112000,1334000,1180000,1046000,800000,571000,201000,-535000,-1328000,-2345000
2010,-1690000,-247000,609000,1386000,1635000,1251000,713000,484000,-30000,-230000,-1050000,-3008000
2011,-1775000,-265000,670000,1345000,1616000,962000,1055000,448000,253000,-489000,-1305000,-2350000
2012,-1438000,-436000,939000,1168000,1176000,1201000,888000,551000,292000,-564000,-1433000,-2551000
2013,-1215000,-237000,818000,1135000,1301000,1203000,974000,468000,176000,-438000,-1179000,-2409000
2014,-1693000,-410000,1005000,1302000,1202000,1292000,745000,452000,297000,-612000,-1383000,-1958000
2015,-1964000,-378000,989000,1453000,1112000,1113000,643000,327000,148000,-339000,-1231000,-2617000
2016,-1724000,-225000,1076000,1144000,1018000,1314000,888000,653000,-167000,-552000,-1740000,-2416000
2017,-1288000,-164000,499000,1350000,1331000,1239000,1137000,457000,58000,-199000,-1596000,-2457000
2018,-1540000,-225000,959000,875000,1470000,1306000,908000,516000,107000,-454000,-1343000,-3015000
2019,-1040000,-218000,589000,1102000,1317000,1344000,1023000,639000,161000,-505000,-1483000,-2539000
2020,-1244000,-294000,908000,1123000,1321000,1149000,854000,758000,154000,-361000,-1382000,-2846000
2021,-1392000,-235000,1005000,1142000,1260000,1230000,995000,526000,-234000,-482000,-1456000,-2700000
2022,-1284000,-351000,753000,1368000,1182000,1128000,930000,668000,179000,-507000,-1264000,-3188000
2023,-1127000,-181000,812000,1016000,1144000,939000,1028000,658000,142000,-349000,-1293000,-2263000
2024,-1547000,-125000,674000,1397000,1093000,880000,,,,,,
