Year,January,February,March,April,May,June,July,August,September,October,November,December
1978,,,,,,,,,,,843000,701000
1979,523000,278000,-266000,-311000,-693000,-530000,-977000,-791000,-67000,1048000,766000,869000
1980,461000,330000,-96000,-350000,-780000,-558000,-962000,-556000,154000,769000,953000,649000
1981,525000,71000,-69000,-371000,-487000,-545000,-1102000,-638000,44000,846000,816000,897000
1982,627000,229000,-150000,-334000,-672000,-583000,-1002000,-638000,6000,1140000,742000,654000
1983,538000,283000,-151000,-573000,-518000,-458000,-933000,-773000,96000,995000,767000,593000
1984,405000,269000,-31000,-380000,-547000,-568000,-1046000,-680000,123000,760000,954000,646000
1985,649000,158000,102000,-337000,-611000,-778000,-1156000,-627000,86000,977000,859000,706000
1986,609000,294000,-139000,-403000,-689000,-492000,-954000,-597000,126000,929000,779000,646000
1987,689000,219000,-199000,-430000,-523000,-530000,-1047000,-825000,252000,774000,926000,
1988,,274000,-151000,-395000,-661000,-626000,-934000,-587000,180000,816000,937000,705000
1989,480000,102000,-150000,-628000,-322000,-428000,-1050000,-673000,-2000,1075000,886000,618000
1990,490000,288000,-159000,-623000,-454000,-659000,-1203000,-646000,15000,1400000,773000,602000
1991,512000,312000,-103000,-394000,-495000,-612000,-1207000,-544000,-140000,1191000,808000,821000
1992,521000,118000,-17000,-487000,-499000,-458000,-973000,-717000,274000,761000,927000,552000
1993,652000,37000,25000,-481000,-681000,-555000,-1052000,-778000,159000,1147000,831000,729000
1994,544000,116000,-45000,-399000,-559000,-650000,-978000,-631000,122000,990000,738000,779000
1995,349000,165000,-8000,-563000,-607000,-574000,-1155000,-589000,-73000,1407000,782000,714000
1996,383000,242000,-96000,-444000,-426000,-419000,-975000,-607000,239000,608000,587000,914000
1997,456000,265000,-74000,-455000,-591000,-625000,-1009000,-619000,21000,1035000,861000,826000
1998,572000,236000,-196000,-411000,-568000,-833000,-846000,-666000,-39000,974000,761000,949000
1999,415000,273000,44000,-379000,-530000,-994000,-785000,-891000,188000,1139000,618000,759000
2000,618000,157000,-62000,-380000,-623000,-589000,-1042000,-729000,47000,1081000,691000,826000
2001,548000,319000,-127000,-307000,-648000,-897000,-854000,-480000,-14000,888000,749000,873000
2002,574000,185000,-146000,-466000,-536000,-574000,-1153000,-771000,112000,1120000,879000,772000
2003,543000,250000,-1000,-606000,-509000,-688000,-1030000,-644000,-109000,1120000,744000,899000
2004,387000,321000,-125000,-543000,-479000,-528000,-957000,-887000,120000,991000,883000,692000
2005,399000,257000,-102000,-272000,-555000,-764000,-1139000,-633000,-78000,1372000,769000,734000
2006,322000,206000,-45000,-307000,-559000,-793000,-931000,-592000,-54000,1164000,471000,1101000
2007,500000,175000,-149000,-327000,-462000,-781000,-1367000,-783000,-136000,1430000,1018000,891000
2008,609000,277000,-83000,-476000,-581000,-762000,-1105000,-963000,-38000,1630000,778000,698000
2009,542000,243000,-33000,-276000,-661000,-758000,-1313000,-649000,22000,1121000,958000,845000
2010,395000,294000,163000,-412000,-824000,-1023000,-916000,-695000,-4000,1130000,857000,824000
2011,581000,188000,2000,-307000,-632000,-909000,-1149000,-776000,52000,1324000,929000,893000
2012,394000,343000,98000,-428000,-624000,-1125000,-1165000,-1072000,48000,1471000,1120000,884000
2013,551000,309000,-68000,-454000,-481000,-839000,-1256000,-653000,61000,1251000,850000,717000
2014,522000,174000,-15000,-362000,-551000,-910000,-1037000,-661000,-13000,1323000,804000,788000
2015,408000,163000,-39000,-363000,-628000,-619000,-1222000,-916000,133000,1348000,878000,765000
2016,435000,224000,-73000,-431000,-735000,-645000,-1040000,-920000,260000,748000,1007000,1074000
2017,468000,237000,-38000,-311000,-507000,-919000,-1118000,-733000,78000,1143000,908000,711000
2018,457000,282000,25000,-364000,-631000,-619000,-1237000,-713000,-56000,1136000,1173000,622000
2019,607000,216000,-156000,-433000,-561000,-752000,-1307000,-656000,-4000,1097000,1103000,969000
2020,543000,249000,-242000,-385000,-614000,-734000,-1400000,-691000,0,843000,1327000,1034000
2021,565000,123000,12000,-350000,-543000,-922000,-1189000,-567000,10000,1199000,979000,849000
2022,496000,167000,-113000,-343000,-466000,-963000,-1096000,-708000,-32000,1230000,837000,806000
2023,426000,279000,-36000,-253000,-574000,-886000,-1116000,-863000,-97000,1434000,820000,1046000
2024,422000,281000,1000,-471000,-585000,-828000,,,,,,
