Year,Month,GMSL,GMSL uncertainty
1978,January,-15.7,6.6
1978,February,-12,6.6
1978,March,-13,6.6
1978,April,-13.3,6.6
1978,May,-17,6.6
1978,June,-18.5,6.6
1978,July,-19.9,6.7
1978,August,-18.3,6.7
1978,September,-18,6.7
1978,October,-17.7,6.7
1978,November,-22.2,6.7
1978,December,-25.2,6.7
1979,January,-28,6.7
1979,February,-26.9,6.7
1979,March,-25.8,6.7
1979,April,-26.1,6.7
1979,May,-27.5,6.7
1979,June,-27.1,6.7
1979,July,-24.7,6.7
1979,August,-19.9,6.7
1979,September,-17.3,6.7
1979,October,-14.9,6.7
1979,November,-17.2,6.5
1979,December,-15,6.5
1980,January,-15.2,6.5
1980,February,-14.1,6.5
1980,March,-16.1,6.4
1980,April,-15.8,6.5
1980,May,-16.1,6.5
1980,June,-16.7,6.5
1980,July,-19.2,6.6
1980,August,-21,6.6
1980,September,-21,6.6
1980,October,-19.2,6.6
1980,November,-14,6.6
1980,December,-9.9,6.6
1981,January,-7.8,6.5
1981,February,-6.8,6.5
1981,March,-5,6.6
1981,April,-4,6.6
1981,May,-2.7,6.6
1981,June,-2.2,6.5
1981,July,-3.9,6.5
1981,August,-3.1,6.4
1981,September,-4.1,6.4
1981,October,-2,6.4
1981,November,-2.9,6.4
1981,December,-4.4,6.4
1982,January,-8.2,6.4
1982,February,-9.3,6.4
1982,March,-10.6,6.4
1982,April,-13.1,6.4
1982,May,-13.5,6.4
1982,June,-14.7,6.3
1982,July,-15.8,6.3
1982,August,-14.4,6.3
1982,September,-10.3,6.3
1982,October,-4.7,6.2
1982,November,-2.1,6.2
1982,December,-1.6,6.4
1983,January,0.2,6.4
1983,February,-0.5,6.5
1983,March,1.1,6.5
1983,April,4.3,6.5
1983,May,7.5,6.5
1983,June,6,6.5
1983,July,1.8,6.5
1983,August,-5.9,6.4
1983,September,-6.7,6.4
1983,October,-9.7,6.5
1983,November,-6.8,6.5
1983,December,-8.9,6.5
1984,January,-7.5,6.5
1984,February,-6.3,6.5
1984,March,-3,6.4
1984,April,-2.2,6.3
1984,May,-1.2,6.3
1984,June,1,6.3
1984,July,0.6,6.3
1984,August,2,6.3
1984,September,-0.2,6.3
1984,October,-1.1,6.3
1984,November,-4.4,6.3
1984,December,-6.4,6.4
1985,January,-10.4,6.2
1985,February,-9.5,6.2
1985,March,-11.7,6.2
1985,April,-11.7,6.2
1985,May,-13.5,6.3
1985,June,-13.1,6.3
1985,July,-13.7,6.3
1985,August,-15.4,6.3
1985,September,-14.6,6.3
1985,October,-13.9,6.3
1985,November,-12.5,6.3
1985,December,-12.2,6.3
1986,January,-10.8,6.3
1986,February,-9.7,6.3
1986,March,-10.3,6.3
