Year,Month,nh_area
1978,1,
1979,1,12.406
1980,1,11.938
1981,1,11.907
1982,1,12.192
1983,1,12.01
1984,1,11.683
1985,1,11.695
1986,1,11.882
1987,1,11.897
1988,1,
1989,1,13.179
1990,1,12.805
1991,1,12.568
1992,1,12.614
1993,1,12.926
1994,1,12.875
1995,1,12.785
1996,1,12.152
1997,1,12.395
1998,1,12.806
1999,1,12.602
2000,1,12.304
2001,1,12.354
2002,1,12.261
2003,1,12.289
2004,1,12.263
2005,1,11.922
2006,1,11.651
2007,1,11.861
2008,1,12.297
2009,1,12.316
2010,1,12.041
2011,1,11.827
2012,1,12.214
2013,1,12.021
2014,1,12.1
2015,1,12.17
2016,1,11.802
2017,1,11.366
2018,1,11.696
2019,1,12.144
2020,1,12.148
2021,1,11.751
2022,1,12.259
2023,1,11.831
2024,1,12.193
1978,2,
1979,2,13.181
1980,2,12.901
1981,2,12.533
1982,2,12.868
1983,2,12.942
1984,2,12.257
1985,2,12.48
1986,2,12.617
1987,2,13.021
1988,2,13.574
1989,2,13.364
1990,2,13.416
1991,2,13.224
1992,2,13.583
1993,2,13.613
1994,2,13.523
1995,2,13.369
1996,2,12.979
1997,2,13.438
1998,2,13.768
1999,2,13.451
2000,2,13.088
2001,2,13.22
2002,2,13.421
2003,2,13.227
2004,2,12.941
2005,2,12.348
2006,2,12.354
2007,2,12.579
2008,2,13.209
2009,2,13.214
2010,2,12.962
2011,2,12.757
2012,2,12.725
2013,2,13.196
2014,2,12.564
2015,2,12.85
2016,2,12.428
2017,2,12.32
2018,2,12.309
2019,2,12.757
2020,2,12.953
2021,2,12.756
2022,2,12.898
2023,2,12.567
2024,2,12.726
1978,3,
1979,3,13.208
1980,3,12.99
1981,3,12.714
1982,3,13.066
1983,3,12.928
1984,3,12.555
1985,3,12.748
1986,3,12.721
1987,3,12.83
1988,3,13.903
1989,3,13.213
1990,3,13.506
1991,3,13.42
1992,3,13.483
1993,3,13.775
1994,3,13.55
1995,3,13.339
1996,3,12.904
1997,3,13.303
1998,3,13.574
1999,3,13.54
2000,3,13.167
2001,3,13.641
2002,3,13.42
2003,3,13.425
2004,3,12.993
2005,3,12.742
2006,3,12.516
2007,3,12.56
2008,3,13.534
2009,3,13.434
2010,3,13.527
2011,3,12.826
2012,3,13.415
2013,3,13.451
2014,3,12.951
2015,3,12.775
2016,3,12.614
2017,3,12.614
2018,3,12.69
2019,3,12.893
2020,3,13.034
2021,3,12.99
2022,3,12.799
2023,3,12.87
2024,3,13.146
1978,4,
1979,4,12.528
1980,4,12.522
1981,4,12.239
1982,4,12.63
1983,4,12.213
1984,4,12.178
1985,4,12.545
1986,4,12.037
1987,4,12.351
1988,4,13.182
1989,4,12.356
1990,4,12.277
1991,4,12.868
1992,4,12.839
1993,4,13.028
1994,4,12.913
1995,4,12.405
1996,4,12.322
1997,4,12.574
1998,4,12.852
1999,4,13.15
2000,4,12.597
2001,4,13.053
2002,4,12.413
2003,4,12.46
2004,4,12.163
2005,4,12.229
2006,4,12.035
2007,4,11.826
2008,4,12.776
2009,4,12.916
2010,4,12.848
2011,4,12.447
2012,4,12.872
2013,4,12.749
2014,4,12.429
2015,4,12.334
2016,4,11.985
2017,4,12.259
2018,4,12.282
2019,4,11.898
2020,4,12.017
2021,4,12.177
2022,4,12.463
2023,4,12.497
2024,4,12.536
1978,5,
1979,5,11.109
1980,5,10.964
1981,5,10.991
1982,5,11.169
1983,5,10.868
1984,5,10.88
1985,5,11.246
1986,5,10.702
1987,5,10.968
1988,5,11.413
1989,5,11.35
1990,5,10.902
1991,5,11.499
1992,5,11.427
1993,5,11.415
1994,5,11.658
