Year,Month,nh_extent
1978,1,
1979,1,15.414
1980,1,14.862
1981,1,14.91
1982,1,15.177
1983,1,14.942
1984,1,14.473
1985,1,14.725
1986,1,14.89
1987,1,14.97
1988,1,
1989,1,14.955
1990,1,14.783
1991,1,14.364
1992,1,14.643
1993,1,14.896
1994,1,14.73
1995,1,14.586
1996,1,14.181
1997,1,14.417
1998,1,14.721
1999,1,14.359
2000,1,14.22
2001,1,14.203
2002,1,14.273
2003,1,14.391
2004,1,14.026
2005,1,13.661
2006,1,13.466
2007,1,13.703
2008,1,13.887
2009,1,13.914
2010,1,13.739
2011,1,13.464
2012,1,13.729
2013,1,13.703
2014,1,13.648
2015,1,13.602
2016,1,13.457
2017,1,13.19
2018,1,13.077
2019,1,13.567
2020,1,13.636
2021,1,13.501
2022,1,13.872
2023,1,13.346
2024,1,13.916
1978,2,
1979,2,16.175
1980,2,15.955
1981,2,15.604
1982,2,15.974
1983,2,16.006
1984,2,15.299
1985,2,15.466
1986,2,15.785
1987,2,16.05
1988,2,15.583
1989,2,15.495
1990,2,15.578
1991,2,15.249
1992,2,15.462
1993,2,15.686
1994,2,15.562
1995,2,15.226
1996,2,15.155
1997,2,15.437
1998,2,15.746
1999,2,15.309
2000,2,15.141
2001,2,15.211
2002,2,15.342
2003,2,15.193
2004,2,14.914
2005,2,14.373
2006,2,14.325
2007,2,14.513
2008,2,14.953
2009,2,14.812
2010,2,14.581
2011,2,14.363
2012,2,14.553
2013,2,14.723
2014,2,14.418
2015,2,14.401
2016,2,14.203
2017,2,14.12
2018,2,13.967
2019,2,14.394
2020,2,14.642
2021,2,14.39
2022,2,14.612
2023,2,14.176
2024,2,14.607
1978,3,
1979,3,16.342
1980,3,16.041
1981,3,15.632
1982,3,16.044
1983,3,16.085
1984,3,15.584
1985,3,15.886
1986,3,15.91
1987,3,15.816
1988,3,15.957
1989,3,15.423
1990,3,15.867
1991,3,15.416
1992,3,15.481
1993,3,15.813
1994,3,15.554
1995,3,15.26
1996,3,15.123
1997,3,15.467
1998,3,15.598
1999,3,15.398
2000,3,15.225
2001,3,15.516
2002,3,15.349
2003,3,15.485
2004,3,14.993
2005,3,14.687
2006,3,14.421
2007,3,14.542
2008,3,15.179
2009,3,14.984
2010,3,15.137
2011,3,14.546
2012,3,15.196
2013,3,15.032
2014,3,14.758
2015,3,14.37
2016,3,14.4
2017,3,14.29
2018,3,14.298
2019,3,14.574
2020,3,14.73
2021,3,14.658
2022,3,14.586
2023,3,14.44
2024,3,14.873
1978,4,
1979,4,15.447
1980,4,15.429
1981,4,15.01
1982,4,15.466
1983,4,15.172
1984,4,15.015
1985,4,15.357
1986,4,15.059
1987,4,15.211
1988,4,15.123
1989,4,14.328
1990,4,14.65
1991,4,14.86
1992,4,14.677
1993,4,15.077
1994,4,14.888
1995,4,14.449
1996,4,14.216
1997,4,14.563
1998,4,14.892
1999,4,15.084
2000,4,14.558
2001,4,14.857
2002,4,14.299
2003,4,14.512
2004,4,13.987
2005,4,14.09
2006,4,13.906
2007,4,13.845
2008,4,14.352
2009,4,14.496
2010,4,14.659
2011,4,14.108
2012,4,14.626
2013,4,14.299
2014,4,14.088
2015,4,13.893
2016,4,13.681
2017,4,13.753
2018,4,13.696
2019,4,13.434
2020,4,13.621
2021,4,13.792
2022,4,13.986
2023,4,13.992
2024,4,14.125
1978,5,
1979,5,13.857
1980,5,13.793
1981,5,13.802
1982,5,13.973
1983,5,13.491
1984,5,13.577
1985,5,14.073
1986,5,13.379
1987,5,13.743
1988,5,13.561
1989,5,13.044
1990,5,13.226
1991,5,13.473
1992,5,13.216
1993,5,13.368
1994,5,13.624
1995,5,12.972
1996,5,13.094
1997,5,13.177
1998,5,13.59
1999,5,13.751
2000,5,13.153
2001,5,13.51
2002,5,12.971
2003,5,13.016
2004,5,12.558
2005,5,12.911
2006,5,12.517
2007,5,12.78
2008,5,12.974
2009,5,13.187
2010,5,12.866
2011,5,12.681
2012,5,13.012
2013,5,12.997
2014,5,12.701
2015,5,12.468
2016,5,11.924
2017,5,12.631
2018,5,12.232
2019,5,12.186
2020,5,12.343
2021,5,12.682
2022,5,12.879
2023,5,12.835
2024,5,12.781
1978,6,
1979,6,12.53
1980,6,12.205
1981,6,12.43
1982,6,12.476
1983,6,12.296
1984,6,12.152
1985,6,12.219
1986,6,11.976
1987,6,12.486
1988,6,11.943
1989,6,12.245
1990,6,11.641
1991,6,12.108
1992,6,12.147
1993,6,11.871
1994,6,12.016
1995,6,11.44
1996,6,12.084
1997,6,11.738
1998,6,11.706
1999,6,11.779
2000,6,11.665
2001,6,11.456
2002,6,11.583
2003,6,11.604
2004,6,11.447
2005,6,11.162
2006,6,10.92
2007,6,11.22
2008,6,11.208
2009,6,11.32
2010,6,10.585
2011,6,10.749
2012,6,10.674
2013,6,11.36
2014,6,11.033
2015,6,10.879
2016,6,10.413
2017,6,10.756
2018,6,10.778
2019,6,10.594
2020,6,10.593
2021,6,10.765
2022,6,10.875
2023,6,10.963
2024,6,10.895
1978,7,
1979,7,10.311
1980,7,10.1
1981,7,10.271
1982,7,10.367
1983,7,10.57
1984,7,9.977
1985,7,9.744
1986,7,10.146
1987,7,10.333
1988,7,9.809
1989,7,10.13
1990,7,9.247
1991,7,9.514
1992,7,10.323
1993,7,9.476
1994,7,9.925
1995,7,8.987
1996,7,10.164
1997,7,9.411
1998,7,9.415
1999,7,9.488
2000,7,9.513
2001,7,9.07
2002,7,9.274
2003,7,9.215
2004,7,9.431
2005,7,8.649
2006,7,8.46
2007,7,7.943
2008,7,8.678
2009,7,8.465
2010,7,8.075
2011,7,7.724
2012,7,7.672
2013,7,8.132
2014,7,8.108
2015,7,8.378
2016,7,7.938
2017,7,7.939
2018,7,8.268
2019,7,7.589
2020,7,7.294
2021,7,7.647
2022,7,8.287
2023,7,8.183
2024,7,
1978,8,
1979,8,8.041
1980,8,7.984
1981,8,7.844
1982,8,8.139
1983,8,8.186
