Year,Month,nh_icechange
1978,1,
1979,1,523000.0
1980,1,461000.0
1981,1,525000.0
1982,1,627000.0
1983,1,538000.0
1984,1,405000.0
1985,1,649000.0
1986,1,609000.0
1987,1,689000.0
1988,1,
1989,1,480000.0
1990,1,490000.0
1991,1,512000.0
1992,1,521000.0
1993,1,652000.0
1994,1,544000.0
1995,1,349000.0
1996,1,383000.0
1997,1,456000.0
1998,1,572000.0
1999,1,415000.0
2000,1,618000.0
2001,1,548000.0
2002,1,574000.0
2003,1,543000.0
2004,1,387000.0
2005,1,399000.0
2006,1,322000.0
2007,1,500000.0
2008,1,609000.0
2009,1,542000.0
2010,1,395000.0
2011,1,581000.0
2012,1,394000.0
2013,1,551000.0
2014,1,522000.0
2015,1,408000.0
2016,1,435000.0
2017,1,468000.0
2018,1,457000.0
2019,1,607000.0
2020,1,543000.0
2021,1,565000.0
2022,1,496000.0
2023,1,426000.0
2024,1,422000.0
1978,2,
1979,2,278000.0
1980,2,330000.0
1981,2,71000.0
1982,2,229000.0
1983,2,283000.0
1984,2,269000.0
1985,2,158000.0
1986,2,294000.0
1987,2,219000.0
1988,2,274000.0
1989,2,102000.0
1990,2,288000.0
1991,2,312000.0
1992,2,118000.0
1993,2,37000.0
1994,2,116000.0
1995,2,165000.0
1996,2,242000.0
1997,2,265000.0
1998,2,236000.0
1999,2,273000.0
2000,2,157000.0
2001,2,319000.0
2002,2,185000.0
2003,2,250000.0
2004,2,321000.0
2005,2,257000.0
2006,2,206000.0
2007,2,175000.0
2008,2,277000.0
2009,2,243000.0
2010,2,294000.0
2011,2,188000.0
2012,2,343000.0
2013,2,309000.0
2014,2,174000.0
2015,2,163000.0
2016,2,224000.0
2017,2,237000.0
2018,2,282000.0
2019,2,216000.0
2020,2,249000.0
2021,2,123000.0
2022,2,167000.0
2023,2,279000.0
2024,2,281000.0
1978,3,
1979,3,-266000.0
1980,3,-96000.0
1981,3,-69000.0
1982,3,-150000.0
1983,3,-151000.0
1984,3,-31000.0
1985,3,102000.0
1986,3,-139000.0
1987,3,-199000.0
1988,3,-151000.0
1989,3,-150000.0
1990,3,-159000.0
1991,3,-103000.0
1992,3,-17000.0
1993,3,25000.0
1994,3,-45000.0
1995,3,-8000.0
1996,3,-96000.0
1997,3,-74000.0
1998,3,-196000.0
1999,3,44000.0
2000,3,-62000.0
2001,3,-127000.0
2002,3,-146000.0
2003,3,-1000.0
2004,3,-125000.0
2005,3,-102000.0
2006,3,-45000.0
2007,3,-149000.0
2008,3,-83000.0
2009,3,-33000.0
2010,3,163000.0
2011,3,2000.0
2012,3,98000.0
2013,3,-68000.0
2014,3,-15000.0
2015,3,-39000.0
2016,3,-73000.0
2017,3,-38000.0
2018,3,25000.0
2019,3,-156000.0
2020,3,-242000.0
2021,3,12000.0
2022,3,-113000.0
2023,3,-36000.0
2024,3,1000.0
1978,4,
1979,4,-311000.0
1980,4,-350000.0
1981,4,-371000.0
1982,4,-334000.0
1983,4,-573000.0
1984,4,-380000.0
1985,4,-337000.0
1986,4,-403000.0
1987,4,-430000.0
1988,4,-395000.0
1989,4,-628000.0
1990,4,-623000.0
1991,4,-394000.0
1992,4,-487000.0
1993,4,-481000.0
1994,4,-399000.0
1995,4,-563000.0
1996,4,-444000.0
1997,4,-455000.0
1998,4,-411000.0
1999,4,-379000.0
2000,4,-380000.0
2001,4,-307000.0
2002,4,-466000.0
2003,4,-606000.0
2004,4,-543000.0
2005,4,-272000.0
2006,4,-307000.0
2007,4,-327000.0
2008,4,-476000.0
2009,4,-276000.0
2010,4,-412000.0
2011,4,-307000.0
2012,4,-428000.0
2013,4,-454000.0
2014,4,-362000.0
2015,4,-363000.0
2016,4,-431000.0
2017,4,-311000.0
2018,4,-364000.0
2019,4,-433000.0
2020,4,-385000.0
