Year,Month,sh_area
1978,1,
1979,1,3.474
1980,1,3.082
1981,1,2.841
1982,1,3.251
1983,1,3.207
1984,1,2.934
1985,1,2.874
1986,1,3.428
1987,1,3.307
1988,1,
1989,1,3.17
1990,1,3.388
1991,1,3.517
1992,1,3.235
1993,1,2.548
1994,1,3.372
1995,1,3.73
1996,1,3.548
1997,1,2.769
1998,1,3.039
1999,1,3.108
2000,1,2.921
2001,1,3.638
2002,1,2.95
2003,1,4.113
2004,1,3.8
2005,1,3.178
2006,1,2.807
2007,1,3.001
2008,1,4.071
2009,1,3.499
2010,1,3.334
2011,1,3.048
2012,1,3.713
2013,1,3.943
2014,1,4.377
2015,1,4.336
2016,1,3.027
2017,1,2.564
2018,1,2.687
2019,1,2.659
2020,1,3.093
2021,1,2.938
2022,1,2.444
2023,1,1.946
2024,1,2.563
1978,2,
1979,2,2.107
1980,2,1.847
1981,2,1.737
1982,2,1.86
1983,2,1.906
1984,2,1.752
1985,2,1.835
1986,2,1.996
1987,2,1.999
1988,2,1.9
1989,2,2.026
1990,2,2.205
1991,2,2.091
1992,2,1.856
1993,2,1.373
1994,2,2.225
1995,2,2.188
1996,2,1.768
1997,2,1.717
1998,2,1.868
1999,2,1.774
2000,2,1.719
2001,2,2.445
2002,2,1.817
2003,2,2.659
2004,2,2.361
2005,2,1.968
2006,2,1.758
2007,2,1.94
2008,2,2.4
2009,2,1.97
2010,2,2.108
2011,2,1.857
2012,2,2.191
2013,2,2.579
2014,2,2.651
2015,2,2.539
2016,2,1.855
2017,2,1.641
2018,2,1.627
2019,2,1.813
2020,2,1.832
2021,2,1.72
2022,2,1.382
2023,2,1.151
2024,2,1.51
1978,3,
1979,3,2.663
1980,3,2.11
1981,3,2.155
1982,3,2.841
1983,3,2.616
1984,3,2.345
1985,3,2.538
1986,3,2.379
1987,3,2.747
1988,3,2.59
1989,3,2.587
1990,3,2.793
1991,3,2.654
1992,3,2.467
1993,3,2.238
1994,3,3.199
1995,3,3.011
1996,3,2.649
1997,3,2.297
1998,3,2.705
1999,3,2.576
2000,3,2.665
2001,3,3.356
2002,3,2.363
2003,3,3.238
2004,3,3.164
2005,3,2.735
2006,3,2.014
2007,3,2.543
2008,3,3.676
2009,3,3.015
2010,3,2.664
2011,3,2.255
2012,3,2.909
2013,3,3.488
2014,3,3.32
2015,3,3.448
2016,3,2.774
2017,3,1.833
2018,3,2.313
2019,3,2.099
2020,3,2.592
2021,3,2.819
2022,3,1.856
2023,3,1.748
2024,3,2.111
1978,4,
1979,4,5.452
1980,4,3.678
1981,4,4.073
1982,4,5.792
1983,4,4.696
1984,4,4.528
1985,4,4.742
1986,4,4.558
1987,4,5.044
1988,4,4.436
1989,4,4.496
1990,4,5.18
1991,4,5.181
1992,4,4.997
1993,4,4.9
1994,4,5.455
1995,4,5.404
1996,4,5.365
1997,4,4.835
1998,4,5.12
1999,4,5.13
2000,4,5.306
2001,4,5.299
2002,4,4.585
2003,4,5.558
2004,4,5.395
2005,4,5.191
2006,4,4.278
2007,4,4.697
2008,4,6.234
2009,4,5.962
2010,4,5.005
2011,4,4.392
2012,4,5.551
2013,4,5.753
2014,4,6.408
2015,4,6.37
2016,4,5.377
2017,4,3.925
2018,4,4.146
2019,4,4.181
2020,4,4.811
2021,4,5.285
2022,4,4.251
2023,4,3.96
2024,4,4.559
1978,5,
1979,5,8.299
1980,5,6.437
1981,5,7.077
1982,5,8.273
1983,5,7.159
1984,5,7.413
1985,5,7.839
1986,5,7.04
1987,5,7.534
1988,5,7.228
1989,5,7.999
1990,5,7.463
1991,5,7.855
1992,5,7.622
1993,5,7.885
1994,5,8.208
1995,5,8.189
1996,5,8.655
1997,5,7.91
1998,5,7.911
1999,5,8.073
2000,5,8.562
2001,5,8.0
2002,5,7.175
2003,5,8.452
2004,5,8.186
2005,5,7.957
2006,5,7.199
2007,5,7.544
2008,5,8.597
2009,5,8.463
2010,5,8.335
2011,5,7.848
2012,5,8.15
2013,5,8.486
2014,5,9.029
2015,5,9.209
2016,5,7.913
2017,5,6.832
2018,5,7.155
2019,5,6.844
2020,5,7.615
2021,5,8.208
2022,5,7.289
2023,5,6.451
2024,5,7.106
1978,6,
1979,6,11.224
1980,6,9.581
1981,6,10.163
1982,6,10.498
1983,6,9.769
1984,6,10.645
1985,6,10.506
1986,6,9.72
1987,6,9.91
1988,6,10.278
1989,6,10.814
1990,6,10.353
1991,6,9.986
1992,6,10.004
1993,6,10.369
1994,6,10.733
1995,6,10.455
1996,6,11.09
1997,6,10.215
1998,6,10.339
1999,6,10.827
2000,6,11.037
2001,6,10.556
2002,6,9.695
2003,6,11.158
2004,6,10.89
2005,6,10.312
2006,6,10.579
2007,6,10.479
2008,6,11.401
2009,6,11.093
2010,6,11.647
2011,6,10.544
2012,6,10.786
2013,6,11.267
2014,6,12.057
2015,6,11.479
2016,6,10.607
2017,6,9.797
2018,6,10.229
2019,6,9.747
2020,6,10.593
2021,6,11.046
2022,6,9.561
2023,6,8.494
2024,6,9.101
1978,7,
1979,7,13.257
1980,7,12.18
1981,7,12.777
1982,7,12.473
1983,7,12.366
1984,7,13.38
1985,7,12.48
1986,7,12.093
1987,7,12.498
1988,7,12.615
1989,7,12.578
1990,7,12.267
1991,7,12.218
1992,7,12.576
1993,7,12.721
1994,7,13.121
1995,7,12.529
1996,7,12.887
1997,7,12.749
1998,7,12.657
1999,7,13.063
2000,7,12.987
2001,7,12.576
2002,7,12.516
2003,7,13.165
2004,7,13.157
2005,7,12.72
2006,7,12.881
2007,7,12.614
2008,7,12.945
2009,7,13.091
2010,7,13.739
2011,7,12.343
2012,7,13.305
2013,7,13.732
2014,7,13.954
2015,7,13.451
2016,7,12.548
2017,7,12.282
2018,7,12.487
2019,7,12.333
2020,7,12.582
2021,7,13.357
2022,7,11.908
2023,7,10.588
2024,7,
1978,8,
1979,8,13.785
1980,8,13.956
1981,8,14.156
1982,8,14.284
1983,8,13.836
1984,8,14.23
1985,8,14.241
1986,8,13.457
1987,8,14.018
1988,8,13.976
1989,8,14.031
1990,8,14.033
1991,8,14.051
1992,8,14.172
1993,8,13.935
1994,8,14.487
1995,8,14.203
1996,8,13.895
1997,8,14.086
1998,8,14.06
1999,8,14.239
2000,8,14.638
2001,8,13.753
2002,8,13.739
2003,8,13.771
2004,8,14.233
2005,8,13.952
2006,8,14.541
2007,8,14.033
2008,8,14.128
2009,8,14.451
2010,8,14.949
2011,8,14.041
2012,8,14.556
2013,8,15.132
2014,8,15.1
2015,8,14.021
2016,8,13.976
2017,8,13.619
2018,8,14.015
2019,8,13.988
2020,8,14.418
2021,8,14.63
2022,8,13.667
2023,8,12.212
2024,8,
1978,9,
1979,9,14.287
1980,9,14.866
1981,9,14.781
1982,9,14.529
1983,9,14.683
1984,9,14.268
1985,9,14.722
1986,9,13.876
1987,9,14.27
1988,9,14.198
1989,9,14.476
1990,9,14.391
1991,9,14.471
1992,9,14.134
1993,9,14.704
1994,9,14.613
1995,9,14.462
1996,9,14.543
1997,9,14.589
1998,9,14.842
1999,9,14.616
2000,9,15.071
2001,9,14.359
2002,9,14.104
2003,9,14.142
2004,9,14.591
2005,9,14.852
2006,9,15.18
2007,9,15.389
2008,9,14.392
2009,9,15.083
2010,9,14.431
2011,9,14.567
2012,9,15.407
2013,9,15.276
2014,9,15.75
2015,9,14.453
2016,9,13.859
2017,9,13.922
2018,9,14.2
2019,9,14.601
2020,9,15.086
2021,9,14.417
2022,9,14.073
2023,9,12.966
2024,9,
1978,10,
1979,10,13.722
1980,10,14.568
1981,10,14.433
1982,10,13.745
1983,10,13.917
1984,10,13.734
1985,10,14.367
1986,10,13.324
1987,10,13.711
1988,10,14.414
1989,10,13.846
1990,10,13.798
1991,10,13.803
1992,10,13.855
1993,10,14.172
1994,10,14.067
1995,10,13.573
1996,10,13.939
1997,10,14.121
1998,10,14.541
1999,10,14.235
2000,10,14.259
2001,10,13.343
2002,10,13.82
2003,10,13.874
2004,10,14.123
2005,10,14.037
2006,10,14.679
2007,10,14.587
2008,10,14.122
2009,10,14.349
2010,10,14.415
2011,10,14.226
2012,10,14.451
2013,10,15.129
2014,10,14.834
2015,10,14.362
2016,10,12.936
2017,10,13.453
2018,10,13.991
2019,10,13.905
2020,10,14.599
2021,10,13.39
2022,10,13.337
2023,10,12.46
2024,10,
1978,11,11.686
1979,11,11.322
1980,11,11.841
1981,11,12.073
1982,11,11.269
1983,11,11.567
1984,11,12.058
1985,11,12.344
1986,11,10.866
1987,11,11.227
1988,11,12.293
1989,11,11.42
1990,11,11.345
1991,11,11.458
1992,11,11.2
1993,11,11.833
1994,11,11.781
1995,11,11.487
1996,11,11.24
1997,11,11.592
1998,11,11.879
1999,11,11.511
2000,11,11.808
2001,11,10.997
2002,11,11.667
2003,11,11.466
2004,11,11.748
2005,11,11.804
2006,11,11.61
2007,11,12.16
2008,11,12.006
2009,11,11.804
2010,11,11.922
2011,11,11.767
2012,11,12.07
2013,11,12.769
2014,11,12.262
2015,11,11.897
2016,11,9.839
2017,11,10.907
2018,11,10.751
2019,11,11.195
2020,11,11.88
2021,11,10.446
2022,11,10.843
2023,11,10.293
2024,11,
1978,12,6.969
1979,12,6.236
1980,12,6.559
1981,12,7.015
1982,12,6.314
1983,12,6.705
1984,12,6.959
1985,12,7.456
1986,12,6.489
1987,12,
1988,12,7.403
1989,12,6.704
1990,12,6.73
1991,12,6.798
1992,12,6.178
1993,12,6.671
1994,12,7.112
1995,12,7.191
1996,12,6.24
1997,12,6.991
1998,12,6.802
1999,12,6.803
2000,12,6.954
2001,12,6.355
2002,12,7.61
2003,12,7.203
2004,12,6.929
2005,12,6.333
2006,12,6.483
2007,12,8.384
2008,12,7.386
2009,12,7.091
2010,12,6.943
2011,12,7.403
2012,12,7.377
