Year,Month,sh_extent
1978,1,
1979,1,5.402
1980,1,4.562
1981,1,4.412
1982,1,5.26
1983,1,4.77
1984,1,4.779
1985,1,4.455
1986,1,5.422
1987,1,5.126
1988,1,
1989,1,4.737
1990,1,4.867
1991,1,5.338
1992,1,4.749
1993,1,4.409
1994,1,4.966
1995,1,5.636
1996,1,5.871
1997,1,4.197
1998,1,4.465
1999,1,4.816
2000,1,4.749
2001,1,5.233
2002,1,4.74
2003,1,5.773
2004,1,5.59
2005,1,4.752
2006,1,4.164
2007,1,4.673
2008,1,6.414
2009,1,5.707
2010,1,4.958
2011,1,4.512
2012,1,5.654
2013,1,5.543
2014,1,6.327
2015,1,6.852
2016,1,4.689
2017,1,3.784
2018,1,4.211
2019,1,3.868
2020,1,4.598
2021,1,4.777
2022,1,3.935
2023,1,3.23
2024,1,3.961
1978,2,
1979,2,3.141
1980,2,2.818
1981,2,2.873
1982,2,3.129
1983,2,3.07
1984,2,2.677
1985,2,2.836
1986,2,3.193
1987,2,3.254
1988,2,2.886
1989,2,2.978
1990,2,3.036
1991,2,3.161
1992,2,2.837
1993,2,2.482
1994,2,3.197
1995,2,3.561
1996,2,2.985
1997,2,2.49
1998,2,2.989
1999,2,2.966
2000,2,2.907
2001,2,3.65
2002,2,2.96
2003,2,3.789
2004,2,3.584
2005,2,2.97
2006,2,2.651
2007,2,2.905
2008,2,3.895
2009,2,2.991
2010,2,3.106
2011,2,2.519
2012,2,3.553
2013,2,3.836
2014,2,3.843
2015,2,3.799
2016,2,2.79
2017,2,2.288
2018,2,2.326
2019,2,2.655
2020,2,2.92
2021,2,2.892
2022,2,2.213
2023,2,1.913
2024,2,2.142
1978,3,
1979,3,3.999
1980,3,3.295
1981,3,3.392
1982,3,4.288
1983,3,4.016
1984,3,3.612
1985,3,3.717
1986,3,3.698
1987,3,4.113
1988,3,3.966
1989,3,3.927
1990,3,3.966
1991,3,3.807
1992,3,3.573
1993,3,3.668
1994,3,4.549
1995,3,4.626
1996,3,4.184
1997,3,3.457
1998,3,4.108
1999,3,3.978
2000,3,4.086
2001,3,4.731
2002,3,3.748
2003,3,4.444
2004,3,4.526
2005,3,4.082
2006,3,3.215
2007,3,3.835
2008,3,5.284
2009,3,4.441
2010,3,3.847
2011,3,3.368
2012,3,4.55
2013,3,5.017
2014,3,4.901
2015,3,4.964
2016,3,4.069
2017,3,2.699
2018,3,3.54
2019,3,3.169
2020,3,4.003
2021,3,4.484
2022,3,2.859
2023,3,2.797
2024,3,3.18
1978,4,
1979,4,7.486
1980,4,5.405
1981,4,5.838
1982,4,7.723
1983,4,6.47
1984,4,6.422
1985,4,6.493
1986,4,6.386
1987,4,6.797
1988,4,6.288
1989,4,6.306
1990,4,7.0
1991,4,7.053
1992,4,6.794
1993,4,6.652
1994,4,7.222
1995,4,7.268
1996,4,7.28
1997,4,6.492
1998,4,6.854
1999,4,6.892
2000,4,7.132
2001,4,7.044
2002,4,6.328
2003,4,7.208
2004,4,7.28
2005,4,7.032
2006,4,6.01
2007,4,6.418
2008,4,8.242
2009,4,7.798
2010,4,6.715
2011,4,6.097
2012,4,7.309
2013,4,7.623
2014,4,8.343
2015,4,8.373
2016,4,7.222
2017,4,5.436
2018,4,6.033
2019,4,5.718
2020,4,6.662
2021,4,7.132
2022,4,5.948
2023,4,5.485
2024,4,6.19
1978,5,
1979,5,10.827
1980,5,8.857
1981,5,9.355
1982,5,10.758
1983,5,9.526
1984,5,9.748
1985,5,10.153
1986,5,9.296
1987,5,9.694
1988,5,9.602
1989,5,10.297
1990,5,9.716
1991,5,10.279
1992,5,9.925
1993,5,10.104
1994,5,10.408
1995,5,10.416
1996,5,10.917
1997,5,10.124
1998,5,10.328
1999,5,10.265
2000,5,10.921
2001,5,10.33
2002,5,9.512
2003,5,10.736
2004,5,10.47
2005,5,10.289
2006,5,9.456
2007,5,9.648
2008,5,11.049
2009,5,10.926
2010,5,10.639
2011,5,10.093
2012,5,10.457
2013,5,10.92
2014,5,11.519
2015,5,11.716
2016,5,10.102
2017,5,9.014
2018,5,9.321
2019,5,8.852
2020,5,9.871
2021,5,10.401
2022,5,9.418
2023,5,8.356
2024,5,9.268
1978,6,
1979,6,14.187
1980,6,12.49
1981,6,13.109
1982,6,13.417
1983,6,12.643
1984,6,13.231
1985,6,13.428
1986,6,12.687
1987,6,12.684
1988,6,13.093
1989,6,13.58
1990,6,13.083
1991,6,13.066
1992,6,12.809
1993,6,13.147
1994,6,13.56
1995,6,13.29
1996,6,13.87
1997,6,13.116
1998,6,13.313
1999,6,13.649
2000,6,13.893
2001,6,13.418
2002,6,12.376
2003,6,13.985
2004,6,13.78
2005,6,13.291
2006,6,13.345
2007,6,13.287
2008,6,14.062
2009,6,13.908
2010,6,14.41
2011,6,13.333
2012,6,13.547
2013,6,14.155
2014,6,14.687
2015,6,14.475
2016,6,13.242
2017,6,12.409
2018,6,12.885
2019,6,12.251
2020,6,13.275
2021,6,13.542
2022,6,12.218
2023,6,11.017
2024,6,11.764
1978,7,
1979,7,16.517
1980,7,15.564
1981,7,16.039
1982,7,15.872
1983,7,15.467
1984,7,16.395
1985,7,15.721
1986,7,15.317
1987,7,15.752
1988,7,15.749
1989,7,15.711
1990,7,15.571
1991,7,15.55
1992,7,15.894
1993,7,15.855
1994,7,16.296
1995,7,15.744
1996,7,16.12
1997,7,15.921
1998,7,15.963
1999,7,16.282
2000,7,16.098
2001,7,15.852
2002,7,15.415
2003,7,16.402
2004,7,16.333
2005,7,16.158
2006,7,16.114
2007,7,15.956
2008,7,16.095
2009,7,16.261
2010,7,16.921
2011,7,15.752
2012,7,16.298
2013,7,16.809
2014,7,17.106
2015,7,16.775
2016,7,16.024
2017,7,15.297
2018,7,15.7
2019,7,15.302
2020,7,15.721
2021,7,16.452
2022,7,14.986
2023,7,13.486
2024,7,
1978,8,
1979,8,17.698
1980,8,17.805
1981,8,17.737
1982,8,17.789
1983,8,17.251
1984,8,17.928
1985,8,17.632
1986,8,16.999
1987,8,17.598
1988,8,17.561
1989,8,17.466
1990,8,17.567
1991,8,17.719
1992,8,17.727
1993,8,17.492
1994,8,17.84
1995,8,17.78
1996,8,17.741
1997,8,17.684
1998,8,17.881
1999,8,17.958
2000,8,18.206
2001,8,17.423
2002,8,17.067
2003,8,17.582
2004,8,18.01
2005,8,17.922
2006,8,18.098
2007,8,17.682
2008,8,17.645
2009,8,18.098
2010,8,18.607
2011,8,17.805
2012,8,18.097
2013,8,18.664
2014,8,18.908
2015,8,17.749
2016,8,17.892
2017,8,17.219
2018,8,17.417
2019,8,17.478
2020,8,17.758
2021,8,18.194
2022,8,17.05
2023,8,15.502
2024,8,
1978,9,
1979,9,18.196
1980,9,18.817
1981,9,18.597
1982,9,18.353
1983,9,18.585
1984,9,18.171
1985,9,18.703
1986,9,17.683
1987,9,18.246
1988,9,18.307
1989,9,18.121
1990,9,18.193
1991,9,18.313
1992,9,18.147
1993,9,18.543
1994,9,18.613
1995,9,18.373
1996,9,18.632
1997,9,18.596
1998,9,18.903
1999,9,18.696
2000,9,18.888
2001,9,18.175
2002,9,17.887
2003,9,18.298
2004,9,18.919
2005,9,18.805
2006,9,19.094
2007,9,18.861
2008,9,18.145
2009,9,18.96
2010,9,18.799
2011,9,18.739
2012,9,19.208
2013,9,19.389
2014,9,19.756
2015,9,18.444
2016,9,18.15
2017,9,17.906
2018,9,17.961
2019,9,18.335
2020,9,18.838
2021,9,18.509
2022,9,18.062
2023,9,16.801
2024,9,
1978,10,
1979,10,17.82
1980,10,18.568
1981,10,18.294
1982,10,17.789
1983,10,17.915
1984,10,17.573
1985,10,18.204
1986,10,17.184
1987,10,17.674
1988,10,18.361
1989,10,17.856
1990,10,17.945
1991,10,17.917
1992,10,17.934
1993,10,18.128
1994,10,18.09
1995,10,18.03
1996,10,17.965
1997,10,17.993
1998,10,18.66
1999,10,18.352
2000,10,18.131
2001,10,17.726
2002,10,17.866
2003,10,18.198
2004,10,18.457
2005,10,18.477
2006,10,18.733
2007,10,18.508
2008,10,17.994
2009,10,18.298
2010,10,18.648
2011,10,18.218
2012,10,18.594
2013,10,19.018
2014,10,19.003
2015,10,18.409
2016,10,17.46
2017,10,17.776
2018,10,17.732
2019,10,17.937
2020,10,18.493
2021,10,17.689
2022,10,17.474
2023,10,16.199
2024,10,
1978,11,15.896
1979,11,15.337
1980,11,16.133
1981,11,16.111
1982,11,15.537
1983,11,16.014
1984,11,16.134
1985,11,16.14
1986,11,15.007
1987,11,15.584
1988,11,16.148
1989,11,15.734
1990,11,15.468
1991,11,15.584
1992,11,15.895
1993,11,16.042
1994,11,15.88
1995,11,15.634
1996,11,15.718
1997,11,15.733
1998,11,16.3
1999,11,15.965
2000,11,15.758
2001,11,15.61
2002,11,15.406
2003,11,16.11
2004,11,16.085
2005,11,16.316
2006,11,16.23
2007,11,15.892
2008,11,16.248
2009,11,15.848
2010,11,16.755
2011,11,15.757
2012,11,16.11
2013,11,16.872
2014,11,16.388
2015,11,16.175
2016,11,14.223
2017,11,15.113
2018,11,15.102
2019,11,14.995
2020,11,16.231
2021,11,15.042
2022,11,15.159
2023,11,14.272
2024,11,
1978,12,10.395
1979,12,9.236
1980,12,10.156
1981,12,10.895
1982,12,9.216
1983,12,10.394
1984,12,10.473
1985,12,11.352
1986,12,9.654
1987,12,
1988,12,11.061
1989,12,9.838
1990,12,9.954
1991,12,10.192
1992,12,10.206
1993,12,9.933
1994,12,10.101
1995,12,10.622
1996,12,9.653
1997,12,10.285
1998,12,10.52
1999,12,10.722
2000,12,9.91
2001,12,10.346
2002,12,10.785
2003,12,10.564
2004,12,10.229
2005,12,9.68
2006,12,9.854
2007,12,11.981
2008,12,11.512
2009,12,10.739
2010,12,11.271
2011,12,11.199
2012,12,10.394
2013,12,11.854
2014,12,11.928
2015,12,10.655
2016,12,8.279
2017,12,9.482
2018,12,9.188
2019,12,9.409
2020,12,10.575
2021,12,9.245
2022,12,8.839
2023,12,8.668
2024,12,
