Year,Month,sh_icechange
1978,1,
1979,1,-1406000.0
1980,1,-1043000.0
1981,1,-1321000.0
1982,1,-1455000.0
1983,1,-1172000.0
1984,1,-1676000.0
1985,1,-1669000.0
1986,1,-1746000.0
1987,1,-1314000.0
1988,1,
1989,1,-1626000.0
1990,1,-1354000.0
1991,1,-1318000.0
1992,1,-1450000.0
1993,1,-1419000.0
1994,1,-1267000.0
1995,1,-1280000.0
1996,1,-1541000.0
1997,1,-1348000.0
1998,1,-1283000.0
1999,1,-1372000.0
2000,1,-1596000.0
2001,1,-1088000.0
2002,1,-1563000.0
2003,1,-1444000.0
2004,1,-1309000.0
2005,1,-1466000.0
2006,1,-1395000.0
2007,1,-1468000.0
2008,1,-1981000.0
2009,1,-1813000.0
2010,1,-1690000.0
2011,1,-1775000.0
2012,1,-1438000.0
2013,1,-1215000.0
2014,1,-1693000.0
2015,1,-1964000.0
2016,1,-1724000.0
2017,1,-1288000.0
2018,1,-1540000.0
2019,1,-1040000.0
2020,1,-1244000.0
2021,1,-1392000.0
2022,1,-1284000.0
2023,1,-1127000.0
2024,1,-1547000.0
1978,2,
1979,2,-346000.0
1980,2,-382000.0
1981,2,-268000.0
1982,2,-355000.0
1983,2,-341000.0
1984,2,-294000.0
1985,2,-155000.0
1986,2,-331000.0
1987,2,-338000.0
1988,2,-254000.0
1989,2,-238000.0
1990,2,-306000.0
1991,2,-601000.0
1992,2,-383000.0
1993,2,-297000.0
1994,2,-223000.0
1995,2,-392000.0
1996,2,-593000.0
1997,2,-316000.0
1998,2,-283000.0
1999,2,-388000.0
2000,2,-246000.0
2001,2,-269000.0
2002,2,-263000.0
2003,2,-282000.0
2004,2,-358000.0
2005,2,-198000.0
2006,2,-167000.0
2007,2,-179000.0
2008,2,-222000.0
2009,2,-404000.0
2010,2,-247000.0
2011,2,-265000.0
2012,2,-436000.0
2013,2,-237000.0
2014,2,-410000.0
2015,2,-378000.0
2016,2,-225000.0
2017,2,-164000.0
2018,2,-225000.0
2019,2,-218000.0
2020,2,-294000.0
2021,2,-235000.0
2022,2,-351000.0
2023,2,-181000.0
2024,2,-125000.0
1978,3,
1979,3,817000.0
1980,3,544000.0
1981,3,561000.0
1982,3,1047000.0
1983,3,775000.0
1984,3,816000.0
1985,3,616000.0
1986,3,671000.0
1987,3,771000.0
1988,3,826000.0
1989,3,718000.0
1990,3,902000.0
1991,3,1053000.0
1992,3,812000.0
1993,3,1000000.0
1994,3,1013000.0
1995,3,840000.0
1996,3,1061000.0
1997,3,858000.0
1998,3,956000.0
1999,3,950000.0
2000,3,844000.0
2001,3,731000.0
2002,3,608000.0
2003,3,668000.0
2004,3,740000.0
2005,3,852000.0
2006,3,616000.0
2007,3,682000.0
2008,3,918000.0
2009,3,1112000.0
2010,3,609000.0
2011,3,670000.0
2012,3,939000.0
2013,3,818000.0
2014,3,1005000.0
2015,3,989000.0
2016,3,1076000.0
2017,3,499000.0
2018,3,959000.0
2019,3,589000.0
2020,3,908000.0
2021,3,1005000.0
2022,3,753000.0
2023,3,812000.0
2024,3,674000.0
1978,4,
1979,4,1453000.0
1980,4,1020000.0
1981,4,1171000.0
1982,4,1272000.0
1983,4,1082000.0
1984,4,1291000.0
1985,4,1274000.0
1986,4,1090000.0
1987,4,1075000.0
1988,4,1036000.0
1989,4,1137000.0
1990,4,1186000.0
1991,4,1142000.0
1992,4,1343000.0
1993,4,1185000.0
1994,4,1000000.0
1995,4,1121000.0
1996,4,1277000.0
1997,4,1316000.0
1998,4,1217000.0
1999,4,1131000.0
2000,4,1379000.0
2001,4,1092000.0
2002,4,1361000.0
2003,4,1260000.0
2004,4,1233000.0
2005,4,1216000.0
2006,4,1186000.0
2007,4,1208000.0
2008,4,1168000.0
2009,4,1334000.0
2010,4,1386000.0
2011,4,1345000.0
2012,4,1168000.0
2013,4,1135000.0
2014,4,1302000.0
2015,4,1453000.0
2016,4,1144000.0
2017,4,1350000.0
2018,4,875000.0
2019,4,1102000.0
2020,4,1123000.0
2021,4,1142000.0
2022,4,1368000.0
2023,4,1016000.0
2024,4,1397000.0
1978,5,
1979,5,1278000.0
1980,5,1426000.0
1981,5,1441000.0
1982,5,1131000.0
1983,5,1160000.0
1984,5,1211000.0
1985,5,1448000.0
1986,5,964000.0
1987,5,1192000.0
1988,5,1414000.0
1989,5,1624000.0
1990,5,1121000.0
1991,5,1221000.0
1992,5,1128000.0
1993,5,1300000.0
1994,5,1284000.0
1995,5,1281000.0
1996,5,1418000.0
1997,5,1336000.0
1998,5,1212000.0
1999,5,1431000.0
2000,5,1445000.0
2001,5,1238000.0
2002,5,1012000.0
2003,5,1435000.0
2004,5,1338000.0
2005,5,1301000.0
2006,5,1573000.0
2007,5,1326000.0
2008,5,1125000.0
2009,5,1180000.0
2010,5,1635000.0
2011,5,1616000.0
2012,5,1176000.0
2013,5,1301000.0
2014,5,1202000.0
2015,5,1112000.0
2016,5,1018000.0
2017,5,1331000.0
2018,5,1470000.0
2019,5,1317000.0
2020,5,1321000.0
2021,5,1260000.0
2022,5,1182000.0
2023,5,1144000.0
2024,5,1093000.0
1978,6,
1979,6,1288000.0
1980,6,1420000.0
1981,6,1381000.0
1982,6,951000.0
1983,6,1223000.0
1984,6,1420000.0
1985,6,1202000.0
1986,6,1425000.0
1987,6,1243000.0
1988,6,1206000.0
1989,6,1109000.0
1990,6,1200000.0
1991,6,1052000.0
1992,6,1191000.0
1993,6,1123000.0
1994,6,1172000.0
1995,6,1003000.0
1996,6,921000.0
1997,6,1147000.0
1998,6,1161000.0
1999,6,1196000.0
2000,6,914000.0
2001,6,1153000.0
2002,6,1221000.0
2003,6,1041000.0
2004,6,1130000.0
2005,6,1101000.0
2006,6,1267000.0
2007,6,1242000.0
2008,6,1105000.0
2009,6,1046000.0
2010,6,1251000.0
2011,6,962000.0
2012,6,1201000.0
2013,6,1203000.0
2014,6,1292000.0
2015,6,1113000.0
2016,6,1314000.0
2017,6,1239000.0
2018,6,1306000.0
2019,6,1344000.0
2020,6,1149000.0
2021,6,1230000.0
2022,6,1128000.0
2023,6,939000.0
2024,6,880000.0
1978,7,
1979,7,576000.0
1980,7,977000.0
1981,7,896000.0
1982,7,940000.0
1983,7,940000.0
1984,7,948000.0
1985,7,572000.0
1986,7,999000.0
1987,7,1053000.0
1988,7,940000.0
1989,7,687000.0
1990,7,889000.0
1991,7,955000.0
1992,7,1090000.0
1993,7,961000.0
1994,7,956000.0
1995,7,874000.0
1996,7,880000.0
1997,7,1008000.0
1998,7,960000.0
1999,7,820000.0
2000,7,851000.0
2001,7,880000.0
2002,7,1008000.0
2003,7,830000.0
