Year,Month,pr_mm_month
1921,1,71.4928847621195
1921,2,64.9289735360071
1921,3,71.57003745669499
1921,4,70.0968304881826
1921,5,73.37533060926944
1921,6,73.80675303284079
1921,7,77.69617382436991
1921,8,76.39790288521908
1921,9,72.04400893533602
1921,10,72.97913135262206
1921,11,69.64045943459496
1921,12,70.80077111022547
1922,1,72.60731636197306
1922,2,65.40280608460307
1922,3,71.69402450672351
1922,4,70.41090354323387
1922,5,73.573605628917
1922,6,74.6761093614623
1922,7,77.31372329872102
1922,8,77.48955797287636
1922,9,72.59205967420712
1922,10,73.95079928683117
1922,11,68.80461133550853
1922,12,71.15246481844224
1923,1,70.12417471851222
1923,2,63.71506943833083
1923,3,69.97082423768006
1923,4,70.0069047161378
1923,5,73.52718539186753
1923,6,73.38013249682263
1923,7,76.9541272369679
1923,8,77.59904600679874
1923,9,72.67514424165711
1923,10,72.66152202500962
1923,11,68.97317559923977
1923,12,69.99337176675908
1924,1,71.52871331200004
1924,2,67.51951564801857
1924,3,71.9342277967371
1924,4,70.51981589756906
1924,5,74.22822451335378
1924,6,73.35085346130654
1924,7,78.31903226324357
1924,8,77.15548622072674
1924,9,73.84722033748403
1924,10,73.72245927108452
1924,11,70.80630725249648
1924,12,72.28000204777345
1925,1,70.89853228535503
1925,2,65.08141122758389
1925,3,72.95839132857509
1925,4,70.31775754876435
1925,5,75.4664970037993
1925,6,73.55864503188059
1925,7,77.39292709738947
1925,8,76.70710804522969
1925,9,73.29362025484443
1925,10,73.1338752200827
1925,11,69.33021952863783
1925,12,72.45631904806942
1926,1,70.64139398862608
1926,2,62.99813571386039
1926,3,72.47705420013517
1926,4,69.68277494888753
1926,5,73.52129516657442
1926,6,73.80725280381739
1926,7,78.57599516864866
1926,8,76.8045135657303
1926,9,73.06298066396266
1926,10,73.76682353205979
1926,11,69.95743681909516
1926,12,69.84234522096813
1927,1,71.50659451726824
1927,2,64.75304157938808
1927,3,71.7520936508663
1927,4,69.39450139179826
1927,5,74.63699348154478
1927,6,74.15517355548218
1927,7,78.03571681142785
1927,8,77.03063195804134
1927,9,72.88352987961844
1927,10,73.66629994357936
1927,11,69.54331998713315
1927,12,71.71615304541774
1928,1,71.45607694401406
1928,2,67.57282203761861
1928,3,72.76207484537736
1928,4,70.30706433579326
1928,5,73.22073777322657
1928,6,74.77101869881153
1928,7,77.60390337207355
1928,8,76.62120527238585
1928,9,72.34584231628105
1928,10,73.8613789435476
1928,11,69.80256439419463
1928,12,71.0646327410359
1929,1,71.37304864008911
1929,2,63.828747533261776
1929,3,71.06820877525024
1929,4,70.52509649656713
1929,5,74.38654441502877
1929,6,74.77926491992548
1929,7,78.5605363722425
1929,8,78.01773920073174
1929,9,73.62850452773273
1929,10,72.92680140235461
1929,11,69.82356420485303
1929,12,72.07460906356573
1930,1,72.43297251407057
1930,2,64.65911292470992
1930,3,72.47129064635374
1930,4,70.0304033816792
1930,5,73.43757504131645
1930,6,74.69564757775515
1930,7,76.89150766236708
1930,8,77.71344499778934
1930,9,73.28714680625126
1930,10,72.76211869320832
1930,11,69.8542293976061
1930,12,70.75977338827215
1931,1,70.32633270719089
1931,2,64.11258412990719
1931,3,71.97619017097168
1931,4,68.98284569615498
1931,5,74.64059387566522
1931,6,73.21206800406799
1931,7,77.94995532603934
1931,8,79.13524014875293
1931,9,72.64164072694257
1931,10,72.69188908394426
1931,11,70.1457656105049
1931,12,70.19750777981244
1932,1,70.55420501274057
1932,2,66.8276765558403
1932,3,70.86523229372688
1932,4,69.17686527594924
1932,5,73.67784166708589
1932,6,74.1823356365785
1932,7,78.3808577049058
1932,8,77.68891944433562
1932,9,73.15242080949247
1932,10,71.99060149141587
1932,11,69.57492342917249
1932,12,71.25727575039491
1933,1,69.6082319074776
1933,2,64.00987207889557
1933,3,72.30657870532013
1933,4,69.87153278896585
1933,5,73.96391466027126
1933,6,73.74664378585294
1933,7,78.46855823881924
1933,8,77.65192649094388
1933,9,73.4026834834367
1933,10,72.42136258282699
1933,11,70.03173767589033
1933,12,71.90219939220697
1934,1,72.16883805231191
1934,2,64.11705503705889
1934,3,73.32521741045639
1934,4,69.5869933697395
1934,5,74.55659117549658
1934,6,73.37053312221542
1934,7,77.82595853204839
1934,8,77.0917266025208
1934,9,73.23117245687172
1934,10,73.29137662891299
1934,11,69.13546443684027
1934,12,72.4053435085807
1935,1,71.37716059223749
1935,2,65.94801032915711
1935,3,71.94836141425185
1935,4,68.75770830083638
1935,5,74.35595324495807
1935,6,73.60606669681147
1935,7,78.30598022555932
1935,8,77.09916124586016
1935,9,72.46819662395865
1935,10,73.31366107100621
1935,11,69.05079568969086
1935,12,72.24236112087965
1936,1,71.45250090979971
1936,2,66.59310747636482
1936,3,72.52588606788777
1936,4,69.3427420919761
1936,5,73.68438960984349
1936,6,75.05851902533323
1936,7,77.59260037564673
1936,8,77.51990554388613
1936,9,72.78868654975668
1936,10,71.72878122073598
1936,11,69.40277590183541
1936,12,71.93342391983606
1937,1,71.76174991764128
1937,2,64.61343574337661
1937,3,70.84990016883239
1937,4,70.65118494210765
1937,5,73.22472305386327
1937,6,74.1034519742243
1937,7,77.60929178330116
1937,8,77.02648590202443
1937,9,73.3340215520002
1937,10,73.48600253462791
1937,11,69.22842655330896
1937,12,71.92182860453613
1938,1,70.63942570821382
1938,2,63.52207234594971
1938,3,72.41808373946697
1938,4,68.67436913307756
1938,5,73.83604464121163
1938,6,74.08933580154553
1938,7,77.72440208354965
1938,8,76.6911133308895
1938,9,73.08997301151976
1938,10,73.34243986406364
1938,11,70.23749244399369
1938,12,71.18039101478644
1939,1,72.19210176263005
1939,2,64.26295358687639
1939,3,72.69692671252415
1939,4,69.45977808209136
1939,5,72.81710387323983
1939,6,73.79379670601338
1939,7,78.34745540167205
1939,8,77.44789766147733
1939,9,72.61479925364256
1939,10,73.0188136396464
1939,11,69.55464498605579
1939,12,71.23466488556005
1940,1,70.7571717503015
1940,2,67.56953140720725
1940,3,72.1116604807321
1940,4,69.85921296291053
1940,5,73.6112465558108
1940,6,74.20854060910642
1940,7,76.63678099634126
1940,8,77.5592273043003
1940,9,73.15106294117868
1940,10,72.85746336565353
1940,11,69.53188654733822
1940,12,71.87688944977708
1941,1,70.90619103983045
1941,2,62.24950519390404
1941,3,72.27524699410424
1941,4,70.5875537241809
1941,5,73.63129963050596
1941,6,74.02893895050511
1941,7,77.6098033413291
1941,8,78.04179704398848
1941,9,73.17358092404902
1941,10,74.5479385368526
1941,11,70.16367721371353
1941,12,72.40052024717443
1942,1,72.20210394007154
1942,2,65.936463419348
1942,3,72.5664112076629
1942,4,72.02841702383012
1942,5,74.28662495221943
1942,6,74.31442133383825
1942,7,77.99310159171
1942,8,77.51935013802722
1942,9,73.29427090007812
1942,10,72.8646885138005
1942,11,70.06524119060487
1942,12,71.63427452906035
1943,1,70.34796917578205
1943,2,64.62054254952818
1943,3,72.40499272593297
1943,4,70.21516776876524
1943,5,74.52580512617715
1943,6,73.95960279973224
1943,7,78.27847789158113
1943,8,77.6136034866795
1943,9,72.86738161928952
1943,10,72.81983218272217
1943,11,70.08807035163045
1943,12,70.85531781194732
1944,1,72.22224471042864
1944,2,67.12741105584428
1944,3,72.06753494683653
1944,4,71.48447760846466
1944,5,73.77882809378207
1944,6,73.96964536746964
1944,7,79.03312342241406
1944,8,76.65537247667089
1944,9,73.90434038825333
1944,10,74.26701035583392
1944,11,68.92143987352028
1944,12,71.06567047303542
1945,1,71.17223531822674
1945,2,65.25211539119482
1945,3,71.9676690758206
1945,4,70.564333233051
1945,5,74.82859388692304
1945,6,74.82417358551174
1945,7,78.58060893486254
1945,8,77.03900689375587
1945,9,73.51207674946636
1945,10,73.20370045490563
1945,11,68.94295831443742
1945,12,71.35853500803933
1946,1,72.04543076804839
1946,2,64.88907421007752
1946,3,73.12996301916428
1946,4,70.31809230102226
1946,5,73.7405635532923
1946,6,73.5943928011693
1946,7,78.1393876997754
1946,8,75.7982691808138
1946,9,73.08922335505486
1946,10,73.09699432225898
1946,11,70.2853903057985
1946,12,70.9889318968635
1947,1,71.52607757016085
1947,2,64.51599549036473
1947,3,71.0353618778754
1947,4,70.12082892470062
1947,5,73.79268888034858
1947,6,73.77716753399
1947,7,77.53594410605729
1947,8,77.54283308750018
1947,9,73.58182780444622
1947,10,72.75698849698529
1947,11,68.91941250069067
1947,12,71.27710471395403
1948,1,71.85358189162798
1948,2,67.21637201844715
1948,3,73.08894093730487
1948,4,69.74411004921421
1948,5,73.49567341734655
1948,6,72.99554458586499
1948,7,78.47241197596304
1948,8,76.97703529265709
1948,9,73.68723704712465
1948,10,73.0664323840756
1948,11,70.19299868261442
1948,12,71.59708669641986
1949,1,72.30174569995143
1949,2,65.07509211078286
1949,3,72.95656920759939
