Year,Month,psl
1921,1,1008.5966
1921,2,1008.9384
1921,3,1007.5601
1921,4,1008.44135
1921,5,1008.3545
1921,6,1007.766
1921,7,1007.0818
1921,8,1007.0382
1921,9,1007.5298
1921,10,1006.75604
1921,11,1008.6289
1921,12,1008.617
1922,1,1008.59467
1922,2,1008.3864
1922,3,1008.59656
1922,4,1008.1592
1922,5,1008.7272
1922,6,1008.498
1922,7,1007.8143
1922,8,1008.59204
1922,9,1008.38666
1922,10,1006.32764
1922,11,1006.7337
1922,12,1007.5802
1923,1,1008.0196
1923,2,1008.73285
1923,3,1008.6258
1923,4,1008.53705
1923,5,1008.7253
1923,6,1007.6718
1923,7,1009.0809
1923,8,1008.01074
1923,9,1006.8004
1923,10,1007.0844
1923,11,1009.35187
1923,12,1008.94635
1924,1,1009.5024
1924,2,1008.20624
1924,3,1008.59576
1924,4,1008.18
1924,5,1008.0728
1924,6,1007.38776
1924,7,1008.53094
1924,8,1007.02686
1924,9,1006.03
1924,10,1007.5177
1924,11,1009.01056
1924,12,1008.4302
1925,1,1009.48474
1925,2,1008.31287
1925,3,1008.51105
1925,4,1009.1779
1925,5,1009.11395
1925,6,1008.21185
1925,7,1008.2915
1925,8,1007.74744
1925,9,1006.81464
1925,10,1007.4156
1925,11,1007.7531
1925,12,1008.4466
1926,1,1009.9444
1926,2,1009.5449
1926,3,1007.36237
1926,4,1008.88544
1926,5,1009.5856
1926,6,1009.1685
1926,7,1009.1817
1926,8,1006.9561
1926,9,1006.21497
1926,10,1006.5721
1926,11,1008.84436
1926,12,1007.8618
1927,1,1009.52026
1927,2,1007.61066
1927,3,1008.589
1927,4,1009.1207
1927,5,1009.26917
1927,6,1007.91907
1927,7,1006.92896
1927,8,1005.6218
1927,9,1006.49536
1927,10,1006.675
1927,11,1008.50006
1927,12,1008.6579
1928,1,1009.00586
1928,2,1008.80457
1928,3,1008.87646
1928,4,1008.48193
1928,5,1008.70966
1928,6,1007.7305
1928,7,1007.35126
1928,8,1006.4767
1928,9,1006.5479
1928,10,1006.67676
1928,11,1007.73914
1928,12,1006.84705
1929,1,1008.0031
1929,2,1009.93463
1929,3,1009.42053
1929,4,1008.0843
1929,5,1007.5532
1929,6,1007.66034
1929,7,1007.6195
1929,8,1006.5459
1929,9,1006.08734
1929,10,1006.2759
1929,11,1007.3542
1929,12,1008.4641
1930,1,1007.00476
1930,2,1008.5113
1930,3,1007.2468
1930,4,1008.56287
1930,5,1007.80725
1930,6,1006.7426
1930,7,1007.7681
1930,8,1007.63086
1930,9,1007.2293
1930,10,1007.5653
1930,11,1008.2555
1930,12,1009.309
1931,1,1009.3353
1931,2,1009.1621
1931,3,1008.67896
1931,4,1008.7209
1931,5,1008.2883
1931,6,1008.5824
1931,7,1007.9676
1931,8,1006.2436
1931,9,1007.2745
1931,10,1006.45825
1931,11,1008.0993
1931,12,1008.5058
1932,1,1008.42017
1932,2,1008.95917
1932,3,1009.09607
1932,4,1009.83246
1932,5,1009.1819
1932,6,1009.106
