Year,Month,tos
1921,1,12.962931
1921,2,13.194491
1921,3,13.097682
1921,4,12.894408
1921,5,12.716316
1921,6,12.718603
1921,7,12.876586
1921,8,12.961946
1921,9,12.79201
1921,10,12.519481
1921,11,12.379107
1921,12,12.553677
1922,1,12.95162
1922,2,13.140247
1922,3,13.042306
1922,4,12.774936
1922,5,12.598059
1922,6,12.604792
1922,7,12.776648
1922,8,12.891318
1922,9,12.707613
1922,10,12.403662
1922,11,12.260374
1922,12,12.382064
1923,1,12.718995
1923,2,12.975349
1923,3,12.979657
1923,4,12.791393
1923,5,12.594477
1923,6,12.623487
1923,7,12.802753
1923,8,12.943425
1923,9,12.789059
1923,10,12.5480795
1923,11,12.4257345
1923,12,12.614258
1924,1,13.010039
1924,2,13.256878
1924,3,13.181505
1924,4,12.97991
1924,5,12.815392
1924,6,12.827198
1924,7,12.950236
1924,8,13.0475445
1924,9,12.896922
1924,10,12.67814
1924,11,12.541146
1924,12,12.731272
1925,1,13.080843
1925,2,13.260885
1925,3,13.174923
1925,4,12.92738
1925,5,12.718202
1925,6,12.696789
1925,7,12.840241
1925,8,12.9621725
1925,9,12.821516
1925,10,12.517063
1925,11,12.339389
1925,12,12.470634
1926,1,12.851343
1926,2,13.101743
1926,3,13.061642
1926,4,12.8409
1926,5,12.6938305
1926,6,12.679775
1926,7,12.838389
1926,8,12.943775
1926,9,12.790844
1926,10,12.5448065
1926,11,12.436312
1926,12,12.610519
1927,1,12.989322
1927,2,13.200545
1927,3,13.119955
1927,4,12.893149
1927,5,12.703303
1927,6,12.700099
1927,7,12.866597
1927,8,12.978538
1927,9,12.822752
1927,10,12.569632
1927,11,12.487066
1927,12,12.651442
1928,1,13.09493
1928,2,13.268088
1928,3,13.180331
1928,4,12.969346
1928,5,12.7832985
1928,6,12.734695
1928,7,12.852882
1928,8,12.995706
1928,9,12.796305
1928,10,12.531978
1928,11,12.435017
1928,12,12.561623
1929,1,12.946706
1929,2,13.130737
1929,3,13.097489
1929,4,12.899562
1929,5,12.732629
1929,6,12.726656
1929,7,12.89403
1929,8,13.015997
1929,9,12.825794
1929,10,12.575425
1929,11,12.4867735
1929,12,12.671565
1930,1,12.946502
1930,2,13.131265
1930,3,13.083387
1930,4,12.873308
1930,5,12.709573
1930,6,12.7070875
1930,7,12.834305
1930,8,12.9293165
1930,9,12.763609
1930,10,12.513633
1930,11,12.372294
1930,12,12.542949
1931,1,12.936711
1931,2,13.187231
1931,3,13.13609
1931,4,12.937261
1931,5,12.695358
1931,6,12.700983
1931,7,12.86996
1931,8,12.957113
1931,9,12.799854
1931,10,12.524337
1931,11,12.422313
1931,12,12.591314
1932,1,12.937476
1932,2,13.182889
1932,3,13.126107
1932,4,12.936711
1932,5,12.730168
1932,6,12.710288
1932,7,12.831486
1932,8,12.9148855
1932,9,12.761181
1932,10,12.505694
1932,11,12.391034
1932,12,12.513135
1933,1,12.907047
1933,2,13.146629
1933,3,13.121722
1933,4,12.908368
1933,5,12.715848
1933,6,12.775843
1933,7,12.93535
1933,8,13.034004
1933,9,12.873732
1933,10,12.595243
1933,11,12.494299
1933,12,12.640599
1934,1,13.025656
1934,2,13.20815
1934,3,13.1355295
1934,4,12.927967
1934,5,12.766154
1934,6,12.778455
1934,7,12.944836
1934,8,13.024445
1934,9,12.84531
1934,10,12.576294
1934,11,12.497389
1934,12,12.657126
1935,1,13.024548
1935,2,13.211477
1935,3,13.153384
1935,4,12.977311
1935,5,12.789367
1935,6,12.776667
1935,7,12.957343
1935,8,13.041891
1935,9,12.867829
1935,10,12.592794
1935,11,12.494787
1935,12,12.661673
1936,1,13.088882
1936,2,13.267681
1936,3,13.173809
1936,4,12.963738
1936,5,12.793579
1936,6,12.76083
1936,7,12.951621
1936,8,12.997191
1936,9,12.844944
1936,10,12.55938
1936,11,12.470825
1936,12,12.622852
1937,1,12.977429
1937,2,13.166209
1937,3,13.096535
1937,4,12.880077
1937,5,12.651357
1937,6,12.678493
1937,7,12.852422
1937,8,12.945374
1937,9,12.773485
1937,10,12.499357
1937,11,12.368433
1937,12,12.550171
1938,1,12.909481
1938,2,13.171021
