Year,Month,tas
1921,1,1.4867766
1921,2,1.2666811
1921,3,1.2390081
1921,4,2.4150667
1921,5,4.678782
1921,6,5.7649174
1921,7,5.871436
1921,8,5.640055
1921,9,4.768809
1921,10,3.087443
1921,11,2.6880016
1921,12,1.8652658
1922,1,1.9122362
1922,2,1.0274013
1922,3,1.09904
1922,4,2.3938568
1922,5,4.431387
1922,6,6.0142145
1922,7,6.393434
1922,8,5.7522483
1922,9,4.8991566
1922,10,3.1885574
1922,11,1.9285787
1922,12,1.2971854
1923,1,0.78882843
1923,2,0.48536268
1923,3,0.88027304
1923,4,2.2721434
1923,5,4.586797
1923,6,5.8999143
1923,7,6.256087
1923,8,5.716623
1923,9,4.6175427
1923,10,3.1269991
1923,11,2.195835
1923,12,1.550674
1924,1,1.4917442
1924,2,1.2882264
1924,3,1.3881242
1924,4,2.61477
1924,5,4.554406
1924,6,5.9378586
1924,7,6.106763
1924,8,5.6985083
1924,9,4.7116537
1924,10,3.6516604
1924,11,2.3285544
1924,12,2.1915753
1925,1,2.0897877
1925,2,1.3620206
1925,3,1.4779738
1925,4,2.779977
1925,5,5.067112
1925,6,5.9755874
1925,7,5.8835297
1925,8,5.6348987
1925,9,4.812959
1925,10,3.4699922
1925,11,2.280773
1925,12,2.0726707
1926,1,1.630241
1926,2,1.0790315
1926,3,0.85842705
1926,4,2.4420729
1926,5,4.562974
1926,6,5.830441
1926,7,6.3569136
1926,8,5.5070095
1926,9,4.588286
1926,10,3.42551
1926,11,2.6527598
1926,12,1.8746811
1927,1,1.2843102
1927,2,1.4044042
1927,3,1.7076652
1927,4,2.871468
1927,5,4.659211
1927,6,5.9920726
1927,7,5.9264655
1927,8,5.583927
1927,9,4.4840655
1927,10,2.829556
1927,11,2.2224104
1927,12,1.9027857
1928,1,1.9409082
1928,2,2.1007576
1928,3,1.1340553
1928,4,2.4460206
1928,5,4.677183
1928,6,5.909741
1928,7,6.24673
1928,8,5.5490694
1928,9,4.678829
1928,10,2.7893648
1928,11,1.9491193
1928,12,1.7554027
1929,1,1.1601588
1929,2,1.4566222
1929,3,1.2173734
1929,4,2.5244997
1929,5,4.585228
1929,6,6.03211
1929,7,6.3536153
1929,8,5.852466
1929,9,4.933679
1929,10,3.0630953
1929,11,2.0618644
1929,12,2.120987
1930,1,1.5325416
1930,2,0.9749536
1930,3,0.98569804
1930,4,2.4276347
1930,5,4.430141
1930,6,5.541509
1930,7,6.036081
1930,8,5.895609
1930,9,4.723941
1930,10,3.4533997
1930,11,2.193845
1930,12,2.0796027
1931,1,1.4662167
1931,2,1.0186279
1931,3,1.1606278
1931,4,2.5547307
1931,5,4.61352
1931,6,5.782849
1931,7,6.2427793
1931,8,5.873783
1931,9,4.6843014
1931,10,3.409523
1931,11,2.173908
1931,12,1.7971306
1932,1,1.4494
1932,2,1.146981
1932,3,0.90303206
1932,4,2.470535
1932,5,4.6123343
1932,6,6.1869106
1932,7,6.1478467
1932,8,5.8000474
1932,9,4.7761316
1932,10,3.0400455
1932,11,1.7350589
1932,12,1.32237
1933,1,1.4388578
1933,2,1.0458484
1933,3,1.35823
1933,4,2.6259723
1933,5,4.839146
1933,6,6.0466657
1933,7,6.27254
1933,8,5.7164097
1933,9,4.9835362
1933,10,2.9456217
1933,11,1.9723241
1933,12,1.8186083
1934,1,1.8454447
1934,2,1.249468
1934,3,1.3645315
1934,4,2.347062
1934,5,4.613625
1934,6,5.8973923
1934,7,6.0664716
1934,8,5.7031116
1934,9,4.5987678
1934,10,3.325581
1934,11,2.1202123
1934,12,1.5107735
1935,1,1.2576528
1935,2,1.4148148
1935,3,1.3364258
1935,4,2.5245888
1935,5,4.5146356
1935,6,5.850563
1935,7,6.378208
1935,8,5.9089546
1935,9,4.4960685
1935,10,3.2260134
1935,11,2.4223714
1935,12,2.162189
1936,1,1.7613153
1936,2,1.1943562
1936,3,1.3989658
1936,4,2.5429885
1936,5,4.822429
1936,6,6.028016
1936,7,6.1007133
1936,8,5.8390613
1936,9,5.044616
1936,10,3.5959635
1936,11,2.4596348
1936,12,2.1320372
1937,1,1.5067488
1937,2,1.4588704
1937,3,1.2340173
1937,4,2.3095493
1937,5,4.695311
1937,6,5.9795604
1937,7,5.912625
1937,8,5.9456887
1937,9,4.6346493
1937,10,3.0208807
1937,11,2.1358335
1937,12,1.9584497
1938,1,1.582499
1938,2,1.3823004
1938,3,1.7644094
1938,4,2.684117
1938,5,5.0295005
1938,6,6.1208687
1938,7,6.0537744
1938,8,5.829081
1938,9,4.4844813
1938,10,3.1677918
1938,11,2.0359344
1938,12,1.6947781
1939,1,1.5084376
1939,2,1.7661468
1939,3,1.3371491
1939,4,2.6639025
1939,5,4.551543
1939,6,6.181762
1939,7,6.548434
1939,8,6.044475
1939,9,4.578418
1939,10,3.0160096
1939,11,1.7703379
1939,12,1.6684078
1940,1,1.1373847
1940,2,1.5319661
1940,3,1.6525388
1940,4,2.7474039
1940,5,5.0882063
1940,6,6.16588
1940,7,6.756927
1940,8,6.1240377
1940,9,4.95076
1940,10,3.196986
1940,11,2.5243979
1940,12,1.9439967
1941,1,1.7227061
1941,2,1.2098131
1941,3,1.2290161
1941,4,3.1763685
1941,5,5.067761
1941,6,6.2716737
1941,7,6.722471
1941,8,6.1438704
1941,9,5.1552534
1941,10,3.5753224
1941,11,2.651218
1941,12,1.9695444
1942,1,2.2548058
1942,2,1.7890037
1942,3,1.7834005
1942,4,2.9225311
1942,5,4.8105073
1942,6,6.2269154
1942,7,6.335465
1942,8,5.9490294
1942,9,4.863284
1942,10,3.344593
1942,11,2.2405467
1942,12,2.015952
1943,1,1.6352578
1943,2,1.3678259
1943,3,1.4922721
1943,4,2.7397268
1943,5,4.826018
1943,6,6.0026484
1943,7,6.3047295
1943,8,5.80495
1943,9,4.538721
1943,10,3.071012
1943,11,2.2947237
1943,12,1.5783242
1944,1,1.6686984
1944,2,1.439172
1944,3,1.5257536
1944,4,2.8690069
1944,5,4.4702334
1944,6,6.0904193
1944,7,6.1103053
1944,8,5.9142327
1944,9,4.627262
1944,10,3.462253
1944,11,2.2392082
1944,12,1.6882776
1945,1,1.9997146
1945,2,1.4760724
1945,3,1.7859056
1945,4,2.811912
1945,5,5.214554
1945,6,6.169398
1945,7,6.5831203
1945,8,5.99405
1945,9,4.930686
1945,10,3.609501
1945,11,2.7626147
1945,12,2.2562933
1946,1,1.774688
1946,2,1.5529616
1946,3,2.060647
1946,4,2.704327
1946,5,4.5653358
1946,6,6.2400746
1946,7,6.521178
1946,8,5.8158174
1946,9,4.972138
1946,10,3.7518878
1946,11,2.6472552
1946,12,2.0797956
1947,1,1.7022567
1947,2,1.7236261
1947,3,1.4019517
1947,4,2.6789558
1947,5,4.692509
1947,6,5.9762726
1947,7,6.290754
1947,8,6.0091376
1947,9,4.861874
1947,10,3.5522184
1947,11,2.5169604
1947,12,2.1661363
1948,1,2.366013
1948,2,2.009398
1948,3,1.6744888
1948,4,2.6157155
1948,5,4.6811566
1948,6,6.087708
1948,7,6.190163
1948,8,5.7794733
1948,9,4.80038
1948,10,3.4263759
1948,11,2.7854142
1948,12,2.3534327
1949,1,1.9398408
1949,2,1.6206025
1949,3,1.5951662
1949,4,2.7972949
1949,5,5.1332254
1949,6,6.12843
1949,7,6.4237843
